label,pattern,attr,replace,category,hyphenate,pos
shape,polygonal-angulate,lower,polygonal,,,ADJ
shape,pyriform,lower,,,,ADJ
shape,quadagulate,lower,polygonal,,,ADJ
shape,quadanguar,lower,polygonal,,,ADJ
shape,rectangular,lower,rhomboid,,,ADJ
shape,regular,lower,radially symmetric,,,ADJ
shape,reniform,lower,,,,ADJ
shape,reniform-angulate,lower,reniform-polygonal,,,ADJ
shape,retuse,lower,,,,ADJ
shape,revolute,lower,,,,ADJ
shape,rhombic,lower,rhomboic,,,ADJ
shape,rhomboic,lower,,,,ADJ
shape,rhomboid,lower,,,,ADJ
shape,rhomboidal,lower,,,,ADJ
shape,rotate,lower,,,,ADJ
shape,rotund,lower,orbicular,,,ADJ
shape,round,lower,orbicular,,,ADJ
shape,rounded,lower,orbicular,,,ADJ
shape,roundish,lower,orbicular,,,ADJ
shape,s-curved,lower,,,,ADJ
shape,saccate,lower,,,,ADJ
shape,sagittate,lower,,,,ADJ
shape,salverform,lower,,,,ADJ
shape,saucer-like,lower,saucerlike,,,ADJ
shape,saucer-shaped,lower,saucerlike,,,ADJ
shape,saucerlike,lower,,,,ADJ
shape,saucershaped,lower,saucerlike,,,ADJ
shape,sausage-shaped,lower,,,,ADJ
shape,semicircular,lower,,,,ADJ
shape,semisagittate,lower,,,,ADJ
shape,semiterete,lower,,,,ADJ
shape,semitriangular,lower,,,,ADJ
shape,septagonal,lower,polygonal,,,ADJ
shape,septagonate,lower,polygonal,,,ADJ
shape,septate,lower,,,,ADJ
shape,sextagonal,lower,polygonal,,,ADJ
shape,sextagonate,lower,polygonal,,,ADJ
shape,sinuate,lower,,,,ADJ
shape,spatulate,lower,,,,ADJ
shape,spear-shaped,lower,spearshaped,,,ADJ
shape,spearshaped,lower,,,,ADJ
shape,spheric,lower,,,,ADJ
shape,stellate,lower,,,,ADJ
shape,styliform,lower,,,,ADJ
shape,subacute,lower,,,,ADJ
shape,subcordate,lower,,,,ADJ
shape,subcylindric,lower,cylindrical,,,ADJ
shape,subcylindrical,lower,cylindrical,,,ADJ
shape,subflabellate,lower,,,,ADJ
shape,subglobose,lower,,,,ADJ
shape,sublobulate,lower,,,,ADJ
shape,subobtuse,lower,,,,ADJ
shape,suborbicular,lower,orbicular,,,ADJ
shape,suborbiculate,lower,orbicular,,,ADJ
shape,subovoid,lower,,,,ADJ
shape,subpeltate,lower,,,,ADJ
shape,subreniform,lower,reniform,,,ADJ
shape,subrhombic,lower,,,,ADJ
shape,subterete,lower,,,,ADJ
shape,subulate,lower,,,,ADJ
shape,symmetric,lower,,,,ADJ
shape,terete,lower,,,,ADJ
